name,price,sum(positive_ratings)
"Shadowrun: Dragonfall - Director's Cut",10.99,3488
Infinifactory,18.99,1511
JUJU,14.99,2898
"Eastside Hockey Manager",14.99,1446
"Frederic: Resurrection of Music",1.99,2145
"Frederic: Evil Strikes Back",5.59,1184
"Chicken Invaders 4",3.99,2169
"NoLimits 2 Roller Coaster Simulation",27.99,402
Robocraft,0,80360
"openCanvas 6",29.99,1596
"Zombie Army Trilogy",29.99,8472
"Battlezone 98 Redux",14.99,515
"Cobi Treasure Deluxe",1.99,3306
"RADical ROACH Remastered",2.09,2164
"City of Brass",15.49,3204
Submerged,14.99,2223
"Saints Row: Gat out of Hell",10.99,5203
Screencheat,11.39,3471
"Bus Driver",5.59,923
"Chernobyl Commando",6.99,2185
Manhunter,3.99,1603
"Floating Point",0,3262
"Ballad of Solar",4.99,2684
"Ryse: Son of Rome",11.99,14966
"Of Guards And Thieves",0,2432
"Boson X",1.99,1288
"Call to Arms",0,5787
"Metal Dead",3.99,2226
BlazeRush,6.99,925
"BLOCKADE 3D",0,15821
"The Beginner's Guide",6.99,12791
OZMAFIA!!,26.99,2065
"Dead Bits",0.79,4845
Roundabout,6.99,1275
"Adventures of Pip",10.99,3520
"Hidden in Plain Sight",4.79,1200
"FATE: The Traitor Soul",5.59,3216
"Faery - Legends of Avalon",6.99,2214
"The Witcher Adventure Game",6.99,1276
CAPSULE,3.99,2625
ArcheAge,0,3195
Trove,0,47897
"Resident Evil / biohazard HD REMASTER",15.99,6313
"Wildlife Park 2",4.99,2470
"FOR HONORâ„¢",12.49,34790
"Hexcells Infinite",3.99,3894
INSIDE,14.99,19660
"Agents of Mayhem",26.99,1808
"SUNLESS SEA",13.99,5331
Unturned,0,292574
"Castaway Paradise - Town Building Sim",9.99,1212
"Battle Islands",0,2565
"Blue Estate The Game",9.99,1068
"The Long Dark",23.79,45856
"Shattered Planet",11.39,2848
"Project AURA",11.99,1158
"Dragon: The Game",13.59,2177
"Bloons TD 5",6.99,3808
"The Howler",0,1604
"The Elder Scrolls Online",14.99,33719
"Crystals of Time",0.79,1208
"Ultimate General: Gettysburg",10.99,1896
Obduction,23.99,1807
"Shan Gui (å±±æ¡‚)",0.79,1635
"Fancy Skulls",5.99,3120
"We Need To Go Deeper",6.99,2804
"I Zombie",1.59,3470
"Velvet Sundown",0,2298
Platypus,4.99,1120
Technobabylon,10.99,812
"Hard West",14.99,2113
"Sleeping Dogs: Definitive Edition",19.99,15529
"Mortal Kombat X",15.99,21484
"Savage Lands",7.19,3196
"IL-2 Sturmovik: Battle of Stalingrad",39.99,1571
