genres,release_date,count(genres)
"Indie;Massively Multiplayer;RPG;Early Access",2016-03-06,1
"Casual;Free to Play;Strategy",2016-05-19,1
"Free to Play;Indie;RPG",2016-10-25,1
"Adventure;Free to Play;Indie;RPG;Early Access",2016-04-01,1
Action;Adventure;Casual;Indie;Racing;Sports,2016-06-30,1
"Casual;Free to Play;Indie;Early Access",2016-03-30,1
"Casual;Free to Play;Sports",2016-03-02,1
"Free to Play;RPG;Strategy",2016-08-15,1
Action;Racing;Simulation,2016-10-21,1
Casual;Indie;Racing;Sports,2016-12-21,1
"Action;Adventure;Casual;Free to Play;Indie;Simulation",2016-04-05,1
"Adventure;Free to Play;Simulation",2016-04-05,1
Indie;Racing;Sports,2016-08-10,1
"Free to Play;Indie;Massively Multiplayer;RPG;Simulation;Strategy",2016-11-15,1
"Action;Adventure;Casual;Indie;Simulation;Early Access",2016-11-18,1
"Action;Adventure;Casual;Massively Multiplayer",2016-10-27,1
Action;Simulation;Sports;Strategy,2016-10-25,1
Action;Indie;Sports;Strategy,2016-04-29,1
"Action;Simulation;Early Access",2016-04-05,1
"Free to Play;Racing;Simulation;Sports;Early Access",2016-10-14,1
"Animation & Modeling;Audio Production;Design & Illustration;Education;Early Access",2016-07-04,1
"Design & Illustration;Photo Editing",2016-05-22,1
"Animation & Modeling;Early Access",2016-05-09,1
"Sexual Content;Adventure;Casual",2016-05-17,1
"Adventure;Casual;Free to Play;Indie;Massively Multiplayer;Simulation",2016-04-15,1
"Racing;RPG;Simulation;Early Access",2016-05-25,1
"Action;Casual;Indie;Racing;RPG;Simulation;Strategy;Early Access",2016-11-03,1
"Free to Play;Indie;Racing;Simulation",2016-05-23,1
Action;Casual;Simulation;Strategy,2016-05-27,1
"Casual;Free to Play;RPG",2016-05-10,1
"Free to Play;Massively Multiplayer;RPG;Strategy",2016-05-06,1
"Casual;Free to Play;Indie;Racing",2016-04-29,1
"Action;Adventure;Casual;Indie;Massively Multiplayer;Racing;Simulation;Sports;Early Access",2016-04-20,1
"Casual;Free to Play;Indie;Simulation;Strategy;Early Access",2016-08-23,1
Adventure;Casual;RPG;Strategy,2016-07-01,1
"Action;Massively Multiplayer",2016-04-28,1
